timestamp,label,score
1763629697.3000555,focused,0.9
1763629697.3808808,focused,0.9
1763629697.4344451,focused,0.9
1763629698.166907,focused,0.9
1763629699.1673992,focused,0.9
1763629700.1709497,focused,0.9
1763629701.1598897,focused,0.9
1763629702.174254,focused,0.9
1763629703.1727617,focused,0.9
1763629704.162708,focused,0.9
1763629705.172499,focused,0.9
1763629706.1629186,focused,0.9
1763629707.1643782,focused,0.9
1763629708.1685193,focused,0.9
1763629709.1783822,focused,0.9
1763629710.18108,focused,0.9
1763629711.1653235,focused,0.9
1763629712.1706383,focused,0.9
1763629713.1643014,distracted,0.2
1763629714.178552,distracted,0.2
1763629715.1648345,distracted,0.2
1763629716.167811,distracted,0.2
1763629717.1691434,distracted,0.2
1763629718.1635065,distracted,0.2
1763629719.1688156,distracted,0.2
1763629720.1735644,focused,0.9
1763629721.165423,focused,0.9
1763629722.1800177,focused,0.9
1763629723.1852648,focused,0.9
1763629724.1752665,focused,0.9
1763629725.1697807,focused,0.9
1763629726.170483,focused,0.9
1763629727.1775718,focused,0.9
1763629728.187801,focused,0.9
1763629729.1796153,focused,0.9
1763629730.1759846,focused,0.9
1763629731.1766396,distracted,0.2
